Facility_ID,Restaurant_Name,Inspection_Date,Process_Description,Geocode,Street,City,Zip_Code,Score,Med_Income,Population,Home_Ownership,Latitude,Longitude
10107394,Tino's Greek Cafe,2015-12-10,Routine Inspection,"10515 N MOPAC EXPY, AUSTIN, TX 78758",10515 N MOPAC EXPY,AUSTIN,78758,86,42398.0,42977.0,0.309,30.3916106484,-97.7324508731
10575343,BJ's Restaurant & Brewhouse,2015-12-09,Routine Inspection,"10515 N MOPAC EXPY, AUSTIN, TX 78758",10515 N MOPAC EXPY,AUSTIN,78758,93,42398.0,42977.0,0.309,30.3916106484,-97.7324508731
10212392,Fleming's Prime Steakhouse & Wine Bar,2015-12-09,Routine Inspection,"11600 CENTURY OAKS TER, AUSTIN, TX 78758",11600 CENTURY OAKS TER,AUSTIN,78758,85,42398.0,42977.0,0.309,30.4033298177,-97.7252464497
10147146,China House Restaurant,2015-12-09,Routine Inspection,"9505 BURNET RD, AUSTIN, TX 78758",9505 BURNET RD,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3786154396,-97.7246189128
11299024,Subway # 49510,2015-12-09,Routine Inspection,"3220 FEATHERGRASS CT, AUSTIN, TX 78758",3220 FEATHERGRASS CT,AUSTIN,78758,95,42398.0,42977.0,0.309,30.3950097939,-97.7273659576
11303539,Metro Food & Cafe,2015-12-08,Routine Inspection,"11900 METRIC BLVD, AUSTIN, TX 78758",11900 METRIC BLVD,AUSTIN,78758,89,42398.0,42977.0,0.309,30.4003705701,-97.704083115
11078195,Fairfield Inn Austin Northwest,2015-12-08,Routine Inspection,"11201 N MOPAC EXPY, AUSTIN, TX 78758",11201 N MOPAC EXPY,AUSTIN,78758,94,42398.0,42977.0,0.309,30.4000268186,-97.7292235249
11080329,Gandhi Bazar,2015-12-07,Routine Inspection,"2121 W PARMER LN, AUSTIN, TX 78758",2121 W PARMER LN,AUSTIN,78758,96,42398.0,42977.0,0.309,30.4156492668,-97.6975693977
10016853,"Spec's Wines, Spirits & Finer Foods, #62",2015-12-04,Routine Inspection,"10515 N MOPAC EXPY, AUSTIN, TX 78758",10515 N MOPAC EXPY,AUSTIN,78758,92,42398.0,42977.0,0.309,30.3916106484,-97.7324508731
10114364,North Hunan,2015-12-04,Routine Inspection,"9036 N LAMAR BLVD, AUSTIN, TX 78758",9036 N LAMAR BLVD,AUSTIN,78758,81,42398.0,42977.0,0.309,30.3603108595,-97.6988755289
11288966,Thyme Travel Catering,2015-12-04,Routine Inspection,"8309 RESEARCH BLVD, AUSTIN, TX 78758",8309 RESEARCH BLVD,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3562865778,-97.7149687651
2801933,Vasquez Mexican Restaurant #2,2015-12-04,Routine Inspection,"9063 RESEARCH BLVD, AUSTIN, TX 78758",9063 RESEARCH BLVD,AUSTIN,78758,96,42398.0,42977.0,0.309,30.3743994863,-97.7273427489
11151799,Michoacana Natural Ice Cream,2015-12-03,Routine Inspection,"9426 PARKFIELD DR, AUSTIN, TX 78758",9426 PARKFIELD DR,AUSTIN,78758,93,42398.0,42977.0,0.309,30.3684594025,-97.7064543609
2801257,Din Ho Chinese BBQ,2015-12-03,Routine Inspection,"8557 RESEARCH BLVD, AUSTIN, TX 78758",8557 RESEARCH BLVD,AUSTIN,78758,80,42398.0,42977.0,0.309,30.3609784671,-97.715765113
11143174,Balkan Cafe & Grill,2015-12-03,Routine Inspection,"11800 N LAMAR BLVD, AUSTIN, TX 78758",11800 N LAMAR BLVD,AUSTIN,78758,91,42398.0,42977.0,0.309,30.3883524756,-97.684068447
10545223,Maki Toki,2015-12-02,Routine Inspection,"1910 W BRAKER LN, AUSTIN, TX 78758",1910 W BRAKER LN,AUSTIN,78758,83,42398.0,42977.0,0.309,30.3923075645,-97.7066994049
10120967,Tomunchi Frozen Yogurt,2015-12-02,Routine Inspection,"1701 W PARMER LN, AUSTIN, TX 78758",1701 W PARMER LN,AUSTIN,78758,96,42398.0,42977.0,0.309,30.4123168201,-97.6894713912
11120707,La Buena,2015-12-01,Routine Inspection,"10014 N LAMAR BLVD, AUSTIN, TX 78758",10014 N LAMAR BLVD,AUSTIN,78758,86,42398.0,42977.0,0.309,30.3701148569,-97.6933544806
10003944,Chuck E. Cheese's 586,2015-12-01,Routine Inspection,"10515 N MOPAC EXPY, AUSTIN, TX 78758",10515 N MOPAC EXPY,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3916106484,-97.7324508731
10371981,Pizza Paradise,2015-11-30,Routine Inspection,"1921 CEDAR BEND DR, AUSTIN, TX 78758",1921 CEDAR BEND DR,AUSTIN,78758,96,42398.0,42977.0,0.309,30.408322329,-97.6982433227
11250515,Szechuan House,2015-11-30,Routine Inspection,"11005 BURNET RD, AUSTIN, TX 78758",11005 BURNET RD,AUSTIN,78758,83,42398.0,42977.0,0.309,30.3943865605,-97.7201834955
2800491,Sonic,2015-11-25,Routine Inspection,"12453 LAMPLIGHT VILLAGE AVE, AUSTIN, TX 78758",12453 LAMPLIGHT VILLAGE AVE,AUSTIN,78758,91,42398.0,42977.0,0.309,30.4148393353,-97.6960326239
10532645,TKO Nutrition and Smoothies,2015-11-25,Routine Inspection,"9003 WATERFORD CENTRE BLVD, AUSTIN, TX 78758",9003 WATERFORD CENTRE BLVD,AUSTIN,78758,96,42398.0,42977.0,0.309,30.3756294675,-97.7302356232
10372907,Park Bend SN Health Center,2015-11-24,Routine Inspection,"2122 PARK BEND DR, AUSTIN, TX 78758",2122 PARK BEND DR,AUSTIN,78758,90,42398.0,42977.0,0.309,30.4085948746,-97.7028727029
10369329,Maggiano's Little Italy,2015-11-24,Routine Inspection,"10910 DOMAIN DR, AUSTIN, TX 78758",10910 DOMAIN DR,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3955744063,-97.7269545986
11319560,Gregorio's,2015-11-24,Routine Inspection,"8309 RESEARCH BLVD, AUSTIN, TX 78758",8309 RESEARCH BLVD,AUSTIN,78758,95,42398.0,42977.0,0.309,30.3562865778,-97.7149687651
2803222,La Quinta Inn & Suites # 937,2015-11-24,Routine Inspection,"11901 N MOPAC EXPY, AUSTIN, TX 78758",11901 N MOPAC EXPY,AUSTIN,78758,89,42398.0,42977.0,0.309,30.4069031778,-97.7186651938
2801372,Taco Shack III,2015-11-23,Routine Inspection,"12439 METRIC BLVD, AUSTIN, TX 78758",12439 METRIC BLVD,AUSTIN,78758,94,42398.0,42977.0,0.309,30.4122225468,-97.6907619643
2801171,Pok-E-Jo's,2015-11-20,Routine Inspection,"2121 W PARMER LN, AUSTIN, TX 78758",2121 W PARMER LN,AUSTIN,78758,92,42398.0,42977.0,0.309,30.4156492668,-97.6975693977
11207424,Brookdale Parmer Lane,2015-11-20,Routine Inspection,"12429 SCOFIELD FARMS DR, AUSTIN, TX 78758",12429 SCOFIELD FARMS DR,AUSTIN,78758,92,42398.0,42977.0,0.309,30.4100985115,-97.6867227492
10391919,Sushi Zushi,2015-11-18,Routine Inspection,"3221 FEATHERGRASS CT, AUSTIN, TX 78758",3221 FEATHERGRASS CT,AUSTIN,78758,92,42398.0,42977.0,0.309,30.3947860056,-97.7277459835
2800253,Gracy Woods Nursing Home,2015-11-17,Routine Inspection,"12021 METRIC BLVD, AUSTIN, TX 78758",12021 METRIC BLVD,AUSTIN,78758,92,42398.0,42977.0,0.309,30.4022591517,-97.7007245196
11303760,Demand Food,2015-11-17,Routine Inspection,"8309 RESEARCH BLVD, AUSTIN, TX 78758",8309 RESEARCH BLVD,AUSTIN,78758,88,42398.0,42977.0,0.309,30.3562865778,-97.7149687651
11198007,El Tacorrido,2015-11-12,Routine Inspection,"9320 N LAMAR BLVD, AUSTIN, TX 78758",9320 N LAMAR BLVD,AUSTIN,78758,83,42398.0,42977.0,0.309,30.3623252176,-97.6976044616
10359753,Gloria's Restaurant #11,2015-11-10,Routine Inspection,"3309 ESPERANZA XING, AUSTIN, TX 78758",3309 ESPERANZA XING,AUSTIN,78758,89,42398.0,42977.0,0.309,30.4001937455,-97.7264540747
2802892,Wingstop,2015-11-10,Routine Inspection,"9616 N LAMAR BLVD, AUSTIN, TX 78758",9616 N LAMAR BLVD,AUSTIN,78758,90,42398.0,42977.0,0.309,30.3668012127,-97.6956374462
2801067,Culver's,2015-11-10,Routine Inspection,"2240 W BRAKER LN, AUSTIN, TX 78758",2240 W BRAKER LN,AUSTIN,78758,91,42398.0,42977.0,0.309,30.3918203285,-97.7141076959
10648379,La Catracha,2015-11-09,Routine Inspection,"10500 N LAMAR BLVD, AUSTIN, TX 78758",10500 N LAMAR BLVD,AUSTIN,78758,82,42398.0,42977.0,0.309,30.3740295341,-97.6912207564
10583690,"Park at the Domain, The",2015-11-09,Routine Inspection,"11601 DOMAIN DR, AUSTIN, TX 78758",11601 DOMAIN DR,AUSTIN,78758,73,42398.0,42977.0,0.309,30.4027433124,-97.7238117304
10617884,Mikado Ryotei,2015-11-09,Routine Inspection,"9033 RESEARCH BLVD, AUSTIN, TX 78758",9033 RESEARCH BLVD,AUSTIN,78758,79,42398.0,42977.0,0.309,30.3734439036,-97.7247032391
10582054,"Collinfield House, The",2015-11-09,Routine Inspection,"9205 COLLINFIELD DR, AUSTIN, TX 78758",9205 COLLINFIELD DR,AUSTIN,78758,100,42398.0,42977.0,0.309,30.3642201751,-97.7020070597
10280424,Aloft Hotel Austin Domain,2015-11-06,Routine Inspection,"11601 DOMAIN DR, AUSTIN, TX 78758",11601 DOMAIN DR,AUSTIN,78758,94,42398.0,42977.0,0.309,30.4027433124,-97.7238117304
2801497,Bright Horizons Family Solution,2015-11-06,Routine Inspection,"2411 W BRAKER LN, AUSTIN, TX 78758",2411 W BRAKER LN,AUSTIN,78758,95,42398.0,42977.0,0.309,30.3896594717,-97.7175237462
2801953,Technique Cafe,2015-11-03,Routine Inspection,"3110 ESPERANZA XING, AUSTIN, TX 78758",3110 ESPERANZA XING,AUSTIN,78758,95,42398.0,42977.0,0.309,30.3999562763,-97.7222476414
10885607,BlackFinn Ameripub,2015-11-03,Routine Inspection,"11410 CENTURY OAKS TER, AUSTIN, TX 78758",11410 CENTURY OAKS TER,AUSTIN,78758,82,42398.0,42977.0,0.309,30.4016905261,-97.7267399687
10970925,P. Terry's Burger Stand,2015-11-03,Routine Inspection,"12301 N MOPAC EXPY, AUSTIN, TX 78758",12301 N MOPAC EXPY,AUSTIN,78758,88,42398.0,42977.0,0.309,30.4146760901,-97.7053549156
11197127,La Unica Michoacana LLC,2015-11-03,Routine Inspection,"946 PAYTON GIN RD, AUSTIN, TX 78758",946 PAYTON GIN RD,AUSTIN,78758,84,42398.0,42977.0,0.309,30.3597627873,-97.7040664996
10743910,"Tokyo Gardens Catering, LLC",2015-11-02,Routine Inspection,"12407 N MOPAC EXPY, AUSTIN, TX 78758",12407 N MOPAC EXPY,AUSTIN,78758,100,42398.0,42977.0,0.309,30.4174621729,-97.7028442208
